# 楽曲ソース (タブ区切り)。列: ブランドタグ / 曲名 / 歌唱 / 初出日 / 初出
# ここに一覧をそのまま貼り足して `node scripts/build-songs.mjs` を実行すると data/songs.csv が再生成される。
# ブランドタグ: GKM=学マス SYC=シャニ SdM=SideM MIL/MILR=ミリオン CIN=デレ 765 876 VLV 961 合同 ETC
[GKM]	標	(初星学園校歌)	2024/04/28	初星学園パンフレット
[GKM]	初	(全体曲)初星学園	2024/04/28	初星学園オープンキャンパス
[GKM]	Fighting My Way	(ソロ)花海咲季	2024/05/01	YouTubeでフルMV公開
[GKM]	Luna say maybe	(ソロ)月村手毬	2024/05/02	YouTubeでフルMV公開
[GKM]	世界一可愛い私	(ソロ)藤田ことね	2024/05/03	YouTubeでフルMV公開
[GKM]	clumsy trick	(ソロ)姫崎莉波	2024/05/04	YouTubeでフルMV公開
[GKM]	Tame-Lie-One-Step	(ソロ)紫雲清夏	2024/05/05	YouTubeでフルMV公開
[GKM]	光景	(ソロ)篠澤広	2024/05/06	YouTubeでフルMV公開
[GKM]	白線	(ソロ)葛城リーリヤ	2024/05/07	YouTubeでフルMV公開
[GKM]	Wonder Scale	(ソロ)倉本千奈	2024/05/08	YouTubeでフルMV公開
[GKM]	Fluorite	(ソロ)有村麻央	2024/05/09	YouTubeでフルMV公開
[GKM]	Campus mode!!	(全体曲)初星学園	2024/05/16	学園アイドルマスター
[GKM]	アイヴイ	(ソロ)月村手毬	2024/05/18	Apple Musicで先行配信
[GKM]	The Rolling Riceball	(ソロ)花海佑芽	2024/06/01	配信／学マスに実装
[GKM]	叶えたい、ことばかり	(ソロ)月村手毬	2024/06/03	YouTubeでビデオ公開
[GKM]	Yellow Big Bang！	(ソロ)藤田ことね	2024/06/10	先行配信／学マスに実装
[GKM]	Boom Boom Pow	(ソロ)花海咲季	2024/06/19	学園アイドルマスター実装
[GKM]	キミとセミブルー	(シーズン曲)初星学園	2024/07/01	学園アイドルマスター実装
[GKM]	コントラスト	(ソロ)篠澤広	2024/07/22	学園アイドルマスター実装
[GKM]	Wake up!!	(ソロ)葛城リーリヤ	2024/07/24	YouTubeでビデオ公開
[GKM]	冠菊	(シーズン曲)初星学園	2024/08/01	学園アイドルマスター実装
[GKM]	憧れをいっぱい	(ソロ)倉本千奈	2024/08/01	YouTubeでMV公開
[GKM]	がむしゃらに行こう！	(初ツアー曲)初星学園	2024/08/09	配信
[GKM]	EGO	(ソロ)花海咲季	2024/08/10	初声公演 名古屋
[GKM]	Howling over the World	(初ツアー曲)初星学園	2024/08/16	配信
[GKM]	Unhappy Light	(ソロ)月村手毬	2024/08/18	初声公演 梅田昼
[GKM]	ふわふわ	(ソロ)藤田ことね	2024/08/18	初声公演 梅田夜
[GKM]	日々、発見的ステップ！	(ソロ)倉本千奈	2024/08/21	Apple Musicで先行配信
[GKM]	ミラクルナナウ(ﾟ∀ﾟ)！	(初ツアー曲)初星学園	2024/08/23	Apple Musicで先行配信
[GKM]	L.U.V	(ソロ)姫崎莉波	2024/09/07	初心公演 名古屋昼
[GKM]	Fragile Heart	(ソロ)葛城リーリヤ	2024/09/07	初心公演 名古屋昼
[GKM]	ときめきのソルフェージュ	(ソロ)倉本千奈	2024/09/07	初心公演 名古屋夜
[GKM]	Feel Jewel Dream	(ソロ)有村麻央	2024/09/20	学園アイドルマスター実装
[GKM]	歌声は君いろ	(ソロ)姫崎莉波	2024/09/23	初心公演 広島夜
[GKM]	仮装狂騒曲	(シーズン曲)初星学園	2024/09/29	Apple Musicで先行配信
[GKM]	カクシタワタシ	(ソロ)紫雲清夏	2024/10/14	初恋公演 梅田昼
