live_id,seq,block,song_id,performers,is_original,is_premiere,stage_type,version,medley_group,notes
20230422_ml10th_act1_d1,1,main,s_thankyou,ml_nao;ml_megumi;ml_noriko;ml_chizuru;ml_roco;ml_kotoha;ml_reika;ml_mirai;ml_anna;ml_elena;ml_emily;ml_fuka;ml_akane;ml_momoko;ml_subaru,,false,,,,
20230422_ml10th_act1_d1,2,main,s_ml_00ihggv,ml_mirai,true,false,,,,
20230422_ml10th_act1_d1,3,main,s_ml_0wrn2y0,ml_nao,true,false,,,,
20230422_ml10th_act1_d1,4,main,s_heartnight,ml_akane,true,false,,,,
20230422_ml10th_act1_d1,5,main,s_impressionlocomotion,ml_roco,true,false,,,,
20230422_ml10th_act1_d1,6,main,s_mystyleourstyle,ml_momoko,true,false,,,,
20230422_ml10th_act1_d1,7,main,s_ml_0lsdf0j,ml_noriko,true,false,,,,
20230422_ml10th_act1_d1,8,main,s_eternalharmony,ml_mirai;ml_elena;ml_emily;ml_fuka;ml_akane;ml_reika;ml_anna,,false,,,,
20230422_ml10th_act1_d1,9,main,s_bluesymphony,ml_megumi;ml_chizuru;ml_kotoha;ml_emily;ml_subaru;ml_reika,false,false,,,,
20230422_ml10th_act1_d1,10,main,s_bittersweet,ml_fuka,true,false,,,,
20230422_ml10th_act1_d1,11,main,s_summertrip,ml_reika,true,false,,,,
20230422_ml10th_act1_d1,12,main,s_homesweetfriendship,ml_noriko;ml_momoko;ml_nao,,false,,,,
20230422_ml10th_act1_d1,13,main,s_ml_1ilm09z,ml_megumi;ml_kotoha;ml_elena,,false,,,,
20230422_ml10th_act1_d1,14,main,s_ml_1v7po0h,ml_chizuru,true,false,,,,
20230422_ml10th_act1_d1,15,main,s_carnaval,ml_elena,true,false,,,,
20230422_ml10th_act1_d1,16,main,s_ml_0qs0m6s,ml_emily,true,false,,,,
20230422_ml10th_act1_d1,17,main,s_ml_1psciz4,ml_kotoha,true,false,,,,
20230422_ml10th_act1_d1,18,main,s_ml_0kv1u8y,ml_chizuru;ml_momoko;ml_roco,false,false,,,,
20230422_ml10th_act1_d1,19,main,s_dreamscape,ml_noriko;ml_subaru,true,false,,,,
20230422_ml10th_act1_d1,20,main,s_vivid,ml_anna,true,false,,,,
20230422_ml10th_act1_d1,21,main,s_ml_1vlp592,ml_megumi,true,false,,,,
20230422_ml10th_act1_d1,22,main,s_fruitylove,ml_akane;ml_roco,true,false,,,,
20230422_ml10th_act1_d1,23,main,s_prettydreamer,ml_fuka;ml_nao;ml_anna;ml_mirai,false,false,,,,
20230422_ml10th_act1_d1,24,main,s_shootingstars,ml_megumi;ml_akane;ml_reika;ml_subaru,,false,,,,
20230422_ml10th_act1_d1,25,main,s_standingalive,ml_kotoha;ml_roco;ml_elena;ml_noriko;ml_fuka,,false,,,,
20230422_ml10th_act1_d1,26,main,s_dreaming,ml_nao;ml_megumi;ml_noriko;ml_chizuru;ml_roco;ml_kotoha;ml_reika;ml_mirai;ml_anna;ml_elena;ml_emily;ml_fuka;ml_akane;ml_momoko;ml_subaru,,false,,,,
20230422_ml10th_act1_d1,27,encore,s_crossing,ml_nao;ml_megumi;ml_noriko;ml_chizuru;ml_roco;ml_kotoha;ml_reika;ml_mirai;ml_anna;ml_elena;ml_emily;ml_fuka;ml_akane;ml_momoko;ml_subaru,,false,,,,
20230422_ml10th_act1_d1,28,encore,s_thankyou,ml_nao;ml_megumi;ml_noriko;ml_chizuru;ml_roco;ml_kotoha;ml_reika;ml_mirai;ml_anna;ml_elena;ml_emily;ml_fuka;ml_akane;ml_momoko;ml_subaru,,false,,,,
20230423_ml10th_act1_d2,1,main,s_thankyou,ml_tomoka;ml_minako;ml_sayoko;ml_rio;ml_tamaki;ml_serika;ml_tsubasa;ml_matsuri;ml_julia;ml_kana;ml_konomi;ml_iku;ml_miya;ml_mizuki;ml_karen,,false,,,,
20230423_ml10th_act1_d2,2,main,s_ml_19ws6z9,ml_serika;ml_minako;ml_konomi;ml_iku;ml_tamaki,,false,,,,
20230423_ml10th_act1_d2,3,main,s_pokerpoker,ml_mizuki,true,false,,,,
20230423_ml10th_act1_d2,4,main,s_birthday,ml_sayoko,true,false,,,,
20230423_ml10th_act1_d2,5,main,s_ml_02pvemv,ml_miya,true,false,,,,
20230423_ml10th_act1_d2,6,main,s_ml_0fuqdhy,ml_iku,true,false,,,,
20230423_ml10th_act1_d2,7,main,s_ml_1pjy6ex,ml_minako,true,false,,,,
20230423_ml10th_act1_d2,8,main,s_ml_138a9hc,ml_karen;ml_matsuri;ml_tsubasa;ml_tamaki;ml_konomi;ml_sayoko;ml_kana;ml_rio,false,false,,,,
20230423_ml10th_act1_d2,9,main,s_psiloveyou,ml_julia;ml_konomi;ml_karen;ml_tomoka;ml_mizuki;ml_rio,,false,,,,
20230423_ml10th_act1_d2,10,main,s_goodsleepbaby,ml_kana;ml_iku;ml_tamaki,false,false,,,,
20230423_ml10th_act1_d2,11,main,s_smilingcrescent,ml_serika;ml_miya,true,false,,,,
20230423_ml10th_act1_d2,12,main,s_melodyinscape,ml_minako;ml_sayoko,true,false,,,,
20230423_ml10th_act1_d2,13,main,s_ml_0m0jts6,ml_matsuri;ml_miya;ml_tomoka,,false,,,,
20230423_ml10th_act1_d2,14,main,s_helloyourangel,ml_iku;ml_tomoka,true,false,,,,
20230423_ml10th_act1_d2,15,main,s_bemyboy,ml_rio,true,false,,,,
20230423_ml10th_act1_d2,16,main,s_ml_1vl1nyl,ml_konomi,true,false,,,,
20230423_ml10th_act1_d2,17,main,s_ml_094yc90,ml_kana,true,false,,,,
20230423_ml10th_act1_d2,18,main,s_ml_0oxa024,ml_karen,true,false,,,,
20230423_ml10th_act1_d2,19,main,s_ml_1xh82qa,ml_mizuki;ml_serika;ml_rio;ml_tsubasa;ml_minako;ml_kana,false,false,,,,
20230423_ml10th_act1_d2,20,main,s_ml_1gydch7,ml_julia;ml_sayoko;ml_matsuri;ml_miya;ml_karen,false,false,,,,
20230423_ml10th_act1_d2,21,main,s_ml_1cisyyv,ml_serika,true,false,,,,
20230423_ml10th_act1_d2,22,main,s_ml_0a6rfh5,ml_matsuri,true,false,,,,
20230423_ml10th_act1_d2,23,main,s_bouncingsmile,ml_tamaki,true,false,,,,
20230423_ml10th_act1_d2,24,main,s_mariatrap,ml_tomoka,true,false,,,,
20230423_ml10th_act1_d2,25,main,s_believemychange,ml_tsubasa,true,false,,,,
20230423_ml10th_act1_d2,26,main,s_ml_0zz42vs,ml_julia,true,false,,,,
20230423_ml10th_act1_d2,27,main,s_ml_1dwbvjc,ml_mizuki;ml_tsubasa;ml_julia,true,false,,harmonized,,
20230423_ml10th_act1_d2,28,main,s_dreaming,ml_tomoka;ml_minako;ml_sayoko;ml_rio;ml_tamaki;ml_serika;ml_tsubasa;ml_matsuri;ml_julia;ml_kana;ml_konomi;ml_iku;ml_miya;ml_mizuki;ml_karen,,false,,,,
20230423_ml10th_act1_d2,29,encore,s_crossing,ml_tomoka;ml_minako;ml_sayoko;ml_rio;ml_tamaki;ml_serika;ml_tsubasa;ml_matsuri;ml_julia;ml_kana;ml_konomi;ml_iku;ml_miya;ml_mizuki;ml_karen,,false,,,,
