live_id,seq,block,song_id,performers,is_original,is_premiere,stage_type,version,medley_group,notes
20180602_ml5th_d1,1,main,s_brandnewtheater,ml_mirai;ml_emily;ml_reika;ml_shiho;ml_kaori;ml_karen;ml_tsumugi;ml_momoko;ml_fuka;ml_iku;ml_yuriko;ml_akane;ml_serika;ml_konomi;ml_ayumu;ml_mizuki;ml_arisa;ml_kana;ml_roco,,false,,,,
20180602_ml5th_d1,2,main,s_ml_0w5bty4,ml_mirai,true,false,,,,
20180602_ml5th_d1,3,main,s_eternalharmony,ml_arisa;ml_mizuki;ml_reika;ml_serika;ml_shiho,,false,,,,
20180602_ml5th_d1,4,main,s_aikane,ml_akane,true,false,,,,
20180602_ml5th_d1,5,main,s_ml_0gqffjc,ml_momoko,true,false,,,,
20180602_ml5th_d1,6,main,s_artneedsheartbeats,ml_roco,true,false,,,,
20180602_ml5th_d1,7,main,s_lastnote,ml_karen,true,false,,,,
20180602_ml5th_d1,8,main,s_weekend,ml_kaori;ml_reika;ml_konomi;ml_fuka,,false,,,,
20180602_ml5th_d1,9,main,s_princessbeambitious,ml_arisa;ml_kana;ml_mirai;ml_yuriko;ml_iku;ml_emily,,false,,,,
20180602_ml5th_d1,10,main,s_angelicparade,ml_serika;ml_akane;ml_konomi;ml_fuka;ml_karen;ml_reika;ml_kaori,,false,,,,
20180602_ml5th_d1,11,main,s_ml_0jnzb0g,ml_kana,true,false,,,,
20180602_ml5th_d1,12,main,s_ml_0iqxq3m,ml_iku,true,false,,,,
20180602_ml5th_d1,13,main,s_comeonateaparty,ml_serika,true,false,,,,
20180602_ml5th_d1,14,main,s_take321space,ml_arisa,true,false,,,,
20180602_ml5th_d1,15,main,s_oliolidisco,ml_ayumu,true,false,,,,
20180602_ml5th_d1,16,main,s_ml_1hfmgp4,ml_reika,true,false,,,,
20180602_ml5th_d1,17,main,s_sentimentalvenus,ml_iku;ml_momoko;ml_akane;ml_konomi,false,false,,,,
20180602_ml5th_d1,18,main,s_fairytale,ml_momoko;ml_ayumu;ml_mizuki;ml_tsumugi;ml_shiho;ml_roco,,false,,,,
20180602_ml5th_d1,19,main,s_zettaibreak,ml_yuriko;ml_iku;ml_arisa,,false,,,,
20180602_ml5th_d1,20,main,s_marionette,ml_mirai;ml_emily;ml_fuka;ml_kana;ml_roco,false,false,,,,
20180602_ml5th_d1,21,main,s_silentjoker,ml_mizuki,true,false,,,,
20180602_ml5th_d1,22,main,s_catcrossing,ml_shiho,true,false,,,,
20180602_ml5th_d1,23,main,s_ml_1e3a1ui,ml_konomi,true,false,,,,
20180602_ml5th_d1,24,main,s_ml_13vsixe,ml_yuriko,true,false,,,,
20180602_ml5th_d1,25,main,s_ml_0n0ogsc,ml_momoko;ml_kana;ml_karen;ml_tsumugi;ml_ayumu,false,false,,,,
20180602_ml5th_d1,26,main,s_meltyfantasia,ml_tsumugi;ml_mizuki;ml_shiho,,false,,,,
20180602_ml5th_d1,27,main,s_ml_18lny8z,ml_emily,true,false,,,,
20180602_ml5th_d1,28,main,s_ml_13mc3tt,ml_fuka,true,false,,,,
20180602_ml5th_d1,29,main,s_ml_0kv1u8y,ml_ayumu;ml_emily;ml_kaori;ml_karen,false,false,,,,
20180602_ml5th_d1,30,main,s_birthofcolor,ml_mirai;ml_yuriko;ml_roco;ml_serika;ml_akane,,false,,,,
20180602_ml5th_d1,31,main,s_ml_1e9j79y,ml_tsumugi,true,false,,,,
20180602_ml5th_d1,32,main,s_ml_08ntfev,ml_kaori,true,false,,,,
20180602_ml5th_d1,33,main,s_dreaming,ml_mirai;ml_emily;ml_reika;ml_shiho;ml_kaori;ml_karen;ml_tsumugi;ml_momoko;ml_fuka;ml_iku;ml_yuriko;ml_akane;ml_serika;ml_konomi;ml_ayumu;ml_mizuki;ml_arisa;ml_kana;ml_roco,,false,,,,
20180602_ml5th_d1,34,encore,s_union,ml_mirai;ml_emily;ml_reika;ml_shiho;ml_kaori;ml_karen;ml_tsumugi;ml_momoko;ml_fuka;ml_iku;ml_yuriko;ml_akane;ml_serika;ml_konomi;ml_ayumu;ml_mizuki;ml_arisa;ml_kana;ml_roco,,false,,,,
20180602_ml5th_d1,35,encore,s_thankyou,ml_mirai;ml_emily;ml_reika;ml_shiho;ml_kaori;ml_karen;ml_tsumugi;ml_momoko;ml_fuka;ml_iku;ml_yuriko;ml_akane;ml_serika;ml_konomi;ml_ayumu;ml_mizuki;ml_arisa;ml_kana;ml_roco,,false,,,,
20180603_ml5th_d2,1,main,s_brandnewtheater,ml_shizuka;ml_tsubasa;ml_tamaki;ml_hinata;ml_umi;ml_minako;ml_elena;ml_julia;ml_sayoko;ml_kotoha;ml_tomoka;ml_matsuri;ml_megumi;ml_chizuru;ml_noriko;ml_miya;ml_anna;ml_rio;ml_nao,,false,,,,
20180603_ml5th_d2,2,main,s_fairytale,ml_shizuka;ml_julia;ml_chizuru;ml_tomoka;ml_megumi;ml_rio,,false,,,,
20180603_ml5th_d2,3,main,s_letters,ml_elena;ml_miya,false,false,,,,
20180603_ml5th_d2,4,main,s_ml_19ws6z9,ml_kotoha;ml_matsuri;ml_nao;ml_julia;ml_tsubasa,,false,,,,
20180603_ml5th_d2,5,main,s_onlyonesecond,ml_sayoko,true,false,,,,
20180603_ml5th_d2,6,main,s_weareone,ml_noriko,true,false,,,,
20180603_ml5th_d2,7,main,s_hearty,ml_megumi,true,false,,,,
20180603_ml5th_d2,8,main,s_homeisacomingnow,ml_nao,true,false,,,,
20180603_ml5th_d2,9,main,s_borderline,ml_rio,true,false,,,,
20180603_ml5th_d2,10,main,s_angelicparade,ml_elena;ml_tamaki;ml_tsubasa;ml_anna;ml_hinata;ml_miya,,false,,,,
20180603_ml5th_d2,11,main,s_ml_090np9o,ml_minako;ml_nao;ml_sayoko;ml_umi;ml_noriko,true,false,,,,
20180603_ml5th_d2,12,main,s_goodsleepbaby,ml_tsubasa;ml_anna;ml_hinata;ml_elena,false,false,,,,
20180603_ml5th_d2,13,main,s_homesweetfriendship,ml_sayoko;ml_shizuka;ml_tamaki;ml_rio;ml_julia,,false,,,,
20180603_ml5th_d2,14,main,s_ml_1d7ahq0,ml_matsuri,true,false,,,,
20180603_ml5th_d2,15,main,s_ml_13u4gl9,ml_minako,true,false,,,,
20180603_ml5th_d2,16,main,s_ml_14vjqv5,ml_tamaki,true,false,,,,
20180603_ml5th_d2,17,main,s_ml_0g4qsrk,ml_umi,true,false,,,,
20180603_ml5th_d2,18,main,s_sister,ml_tomoka,true,false,,,,
20180603_ml5th_d2,19,main,s_ml_1yoia7r,ml_miya,true,false,,,,
20180603_ml5th_d2,20,main,s_ml_1iwpmfz,ml_hinata,true,false,,,,
20180603_ml5th_d2,21,main,s_ml_0opkmwv,ml_chizuru;ml_tomoka;ml_megumi;ml_rio,,false,,,,
20180603_ml5th_d2,22,main,s_princessbeambitious,ml_noriko;ml_sayoko;ml_umi;ml_kotoha;ml_minako;ml_matsuri;ml_nao,,false,,,,
20180603_ml5th_d2,23,main,s_ml_0mj36jb,ml_elena,true,false,,,,
20180603_ml5th_d2,24,main,s_enterpleasure,ml_anna,true,false,,,,
20180603_ml5th_d2,25,main,s_ml_0zy947m,ml_tsubasa,true,false,,,,
20180603_ml5th_d2,26,main,s_ml_0s4v1ps,ml_tamaki;ml_megumi;ml_kotoha;ml_umi;ml_miya,false,false,,,,
20180603_ml5th_d2,27,main,s_bluesymphony,ml_matsuri;ml_minako;ml_chizuru;ml_tomoka,false,false,,,,
20180603_ml5th_d2,28,main,s_standingalive,ml_noriko;ml_shizuka;ml_hinata;ml_anna,,false,,,,
20180603_ml5th_d2,29,main,s_ml_1ognxga,ml_chizuru,true,false,,,,
20180603_ml5th_d2,30,main,s_ml_1wdvzof,ml_julia,true,false,,,,
20180603_ml5th_d2,31,main,s_ml_1wnnx9y,ml_kotoha,true,false,,,,
20180603_ml5th_d2,32,main,s_singmysong,ml_shizuka,true,false,,,,
20180603_ml5th_d2,33,main,s_dreaming,ml_shizuka;ml_tsubasa;ml_tamaki;ml_hinata;ml_umi;ml_minako;ml_elena;ml_julia;ml_sayoko;ml_kotoha;ml_tomoka;ml_matsuri;ml_megumi;ml_chizuru;ml_noriko;ml_miya;ml_anna;ml_rio;ml_nao,,false,,,,
20180603_ml5th_d2,34,encore,s_union,ml_shizuka;ml_tsubasa;ml_tamaki;ml_hinata;ml_umi;ml_minako;ml_elena;ml_julia;ml_sayoko;ml_kotoha;ml_tomoka;ml_matsuri;ml_megumi;ml_chizuru;ml_noriko;ml_miya;ml_anna;ml_rio;ml_nao,,false,,,,
20180603_ml5th_d2,35,encore,s_thankyou,ml_shizuka;ml_tsubasa;ml_tamaki;ml_hinata;ml_umi;ml_minako;ml_elena;ml_julia;ml_sayoko;ml_kotoha;ml_tomoka;ml_matsuri;ml_megumi;ml_chizuru;ml_noriko;ml_miya;ml_anna;ml_rio;ml_nao,,false,,,,
20180303_cg_spring2018_d1,1,main,s_cg_0wo8ct4,cg_nana;cg_chieri;cg_x009;cg_x016;cg_kirari;cg_x006,,false,,,,
20180303_cg_spring2018_d1,2,main,s_cg_0wpc2gk,cg_chieri;cg_kyoko;cg_nana,,false,,,,
20180303_cg_spring2018_d1,3,main,s_cg_11he9on,cg_x009;cg_karen;cg_x016,,false,,,,
20180303_cg_spring2018_d1,4,main,s_sunflower,cg_x006;cg_yuko;cg_kirari,,false,,,,
20180303_cg_spring2018_d1,5,main,s_cg_17b4fmr,cg_kirari,,false,,,,
20180303_cg_spring2018_d1,6,main,s_bloomingdays,cg_nana;cg_kyoko;cg_chieri,,false,,,,
20180303_cg_spring2018_d1,7,main,s_dingdongdang,cg_x016;cg_karen;cg_x009,,false,,,,
20180303_cg_spring2018_d1,8,main,s_snowlove,cg_kirari;cg_yuko;cg_x006,,false,,,,
