live_id,seq,block,song_id,performers,is_original,is_premiere,stage_type,version,medley_group,notes
20150404_ml2nd_d1,1,main,s_thankyou,ml_mirai;ml_shizuka;ml_tsubasa;ml_serika;ml_shiho;ml_yuriko;ml_anna;ml_megumi;ml_nao;ml_kana;ml_tomoka;ml_sayoko;ml_karen;ml_ayumu;ml_rio,,false,,,,
20150404_ml2nd_d1,2,main,s_growingstorm,ml_mirai;ml_tsubasa;ml_anna;ml_yuriko,,false,,,,
20150404_ml2nd_d1,3,main,s_ml_0wrn2y0,ml_nao,true,false,,,,
20150404_ml2nd_d1,4,main,s_ml_17cw6ic,ml_serika,true,false,,,,
20150404_ml2nd_d1,5,main,s_happydarling,ml_anna,true,false,,,,
20150404_ml2nd_d1,6,main,s_ml_0m0jts6,ml_megumi;ml_nao,,false,,,,
20150404_ml2nd_d1,7,main,s_shootingstars,ml_shizuka;ml_shiho;ml_serika,,false,,,,
20150404_ml2nd_d1,8,main,s_mariatrap,ml_tomoka,true,false,,,,
20150404_ml2nd_d1,9,main,s_bemyboy,ml_rio,true,false,,,,
20150404_ml2nd_d1,10,main,s_ml_1la4wee,ml_ayumu,true,false,,,,
20150404_ml2nd_d1,11,main,s_ml_1gwe52l,ml_kana,true,false,,,,
20150404_ml2nd_d1,12,main,s_birthday,ml_sayoko,true,false,,,,
20150404_ml2nd_d1,13,main,s_ml_1dqe84e,ml_karen,true,false,,,,
20150404_ml2nd_d1,14,main,s_theidolmster,ml_mirai;ml_shizuka;ml_tsubasa;ml_serika;ml_shiho;ml_yuriko;ml_anna;ml_megumi;ml_nao;ml_kana;ml_tomoka;ml_sayoko;ml_karen;ml_ayumu;ml_rio,,false,,msterversion,,
20150404_ml2nd_d1,15,main,s_prettydreamer,ml_mirai;ml_kana;ml_sayoko,false,false,,,,
20150404_ml2nd_d1,16,main,s_sentimentalvenus,ml_anna;ml_nao;ml_ayumu,false,false,,,,
20150404_ml2nd_d1,17,main,s_hello,ml_shizuka;ml_yuriko;ml_tomoka,false,false,,,,
20150404_ml2nd_d1,18,main,s_marionette,ml_tsubasa;ml_serika;ml_karen,false,false,,,,
20150404_ml2nd_d1,19,main,s_bluesymphony,ml_shiho;ml_megumi;ml_rio,false,false,,,,
20150404_ml2nd_d1,20,main,s_lesson,ml_tsubasa,true,false,,,,
20150404_ml2nd_d1,21,main,s_ml_1vlp592,ml_megumi,true,false,,,,
20150404_ml2nd_d1,22,main,s_ml_00ihggv,ml_mirai,true,false,,,,
20150404_ml2nd_d1,23,main,s_standingalive,ml_rio;ml_karen,,false,,,,
20150404_ml2nd_d1,24,main,s_ml_0n0ogsc,ml_tomoka;ml_sayoko,false,false,,,,
20150404_ml2nd_d1,25,main,s_birthofcolor,ml_kana;ml_ayumu,,false,,,,
20150404_ml2nd_d1,26,main,s_ml_0r7y3ix,ml_yuriko,true,false,,,,
20150404_ml2nd_d1,27,main,s_ml_1isjbec,ml_shiho,true,false,,,,
20150404_ml2nd_d1,28,main,s_catchmydream,ml_shizuka,true,false,,,,
20150404_ml2nd_d1,29,main,s_welcome,ml_mirai;ml_shizuka;ml_tsubasa;ml_serika;ml_shiho;ml_yuriko;ml_anna;ml_megumi;ml_nao;ml_kana;ml_tomoka;ml_sayoko;ml_karen;ml_ayumu;ml_rio,,false,,,,
20150404_ml2nd_d1,30,encore,s_thankyou,ml_mirai;ml_shizuka;ml_tsubasa;ml_serika;ml_shiho;ml_yuriko;ml_anna;ml_megumi;ml_nao;ml_kana;ml_tomoka;ml_sayoko;ml_karen;ml_ayumu;ml_rio,,false,,,,
20150718_moiw2015_d1,1,main,s_theidolmster,765as_haruka;765as_chihaya;765as_miki;765as_yukiho;765as_yayoi;765as_makoto;765as_iori;765as_ami;765as_mami;765as_azusa;765as_hibiki;765as_takane;765as_ritsuko,,false,,msterversion,,
20150718_moiw2015_d1,2,main,s_ready,765as_haruka;765as_chihaya;765as_miki;765as_yukiho;765as_yayoi;765as_makoto;765as_iori;765as_ami;765as_mami;765as_azusa;765as_hibiki;765as_takane;765as_ritsuko,true,false,,msterversion,,
20150718_moiw2015_d1,3,main,s_start,765as_haruka,true,false,,,,
20150718_moiw2015_d1,4,main,s_765as_00r74oc,765as_ami;765as_azusa;765as_iori,false,false,,msterversion,,
20150718_moiw2015_d1,5,main,s_pondebeach,765as_hibiki,true,false,,msterversion,,
20150718_moiw2015_d1,6,main,s_765as_1w8ehoa,765as_chihaya;765as_takane,,false,,,,
20150718_moiw2015_d1,7,main,s_youmy,765as_ami,true,false,,,,
20150718_moiw2015_d1,8,main,s_alright,765as_yukiho,true,false,,,,
20150718_moiw2015_d1,9,main,s_765as_168eu4l,765as_makoto,true,false,,,,
20150718_moiw2015_d1,10,main,s_diamond,765as_iori,true,false,,,,
20150718_moiw2015_d1,11,main,s_765as_1yw5ep9,765as_kotori,true,false,,,,
20150718_moiw2015_d1,12,main,s_the,765as_haruka;765as_yukiho;765as_kotori,false,false,,,,
