live_id,seq,block,song_id,performers,is_original,is_premiere,stage_type,version,medley_group,notes
20190427_ml6th_angel_d1,1,main,s_angelicparade,ml_tsubasa;ml_tamaki;ml_reika;ml_hinata;ml_kaori;ml_karen;ml_elena;ml_fuka;ml_akane;ml_serika;ml_konomi;ml_miya;ml_anna,,false,,,,
20190427_ml6th_angel_d1,2,main,s_iiko,ml_hinata;ml_serika;ml_tamaki;ml_anna,,false,,,,
20190427_ml6th_angel_d1,3,main,s_765as_1n54kyz,ml_hinata;ml_serika;ml_tamaki;ml_anna,false,false,,,,
20190427_ml6th_angel_d1,4,main,s_getlolgetlolsong,ml_hinata;ml_serika;ml_tamaki;ml_anna,,false,,,,
20190427_ml6th_angel_d1,5,main,s_letters,ml_elena;ml_miya,false,false,,,,
20190427_ml6th_angel_d1,6,main,s_765as_1fx8o5s,ml_elena;ml_miya,false,false,,,,
20190427_ml6th_angel_d1,7,main,s_ml_01bjjra,ml_elena;ml_miya,false,false,,,,
20190427_ml6th_angel_d1,8,main,s_ml_01glwel,ml_karen;ml_akane;ml_tsubasa,,false,,,,
20190427_ml6th_angel_d1,9,main,s_dodai,ml_karen;ml_akane;ml_tsubasa,,false,,msterversion,,
20190427_ml6th_angel_d1,10,main,s_ml_05invv6,ml_karen;ml_akane;ml_tsubasa,,false,,,,
20190427_ml6th_angel_d1,11,main,s_redzone,ml_kaori;ml_fuka;ml_reika;ml_konomi,,false,,,,
20190427_ml6th_angel_d1,12,main,s_902pm,ml_kaori;ml_fuka;ml_reika;ml_konomi,false,false,,msterversion,,
20190427_ml6th_angel_d1,13,main,s_idol,ml_kaori;ml_fuka;ml_reika;ml_konomi,false,false,,,,
20190427_ml6th_angel_d1,14,main,s_weekend,ml_kaori;ml_fuka;ml_reika;ml_konomi,,false,,,,
20190427_ml6th_angel_d1,15,main,s_ml_0ilaprr,ml_kaori;ml_hinata;ml_fuka,,false,,,,
20190427_ml6th_angel_d1,16,main,s_ml_054zahe,ml_akane,true,false,,,,
20190427_ml6th_angel_d1,17,main,s_lastnote,ml_karen,true,false,,,,
20190427_ml6th_angel_d1,18,main,s_ml_1i8uqqu,ml_miya,true,false,,,,
20190427_ml6th_angel_d1,19,main,s_ml_08ntfev,ml_kaori,true,false,,,,
20190427_ml6th_angel_d1,20,main,s_sweetsweetsoul,ml_serika;ml_akane;ml_tamaki,,false,,,,
20190427_ml6th_angel_d1,21,main,s_ml_1vl1nyl,ml_konomi,true,false,,,,
20190427_ml6th_angel_d1,22,main,s_bouncingsmile,ml_tamaki,true,false,,,,
20190427_ml6th_angel_d1,23,main,s_ml_17cw6ic,ml_serika,true,false,,,,
20190427_ml6th_angel_d1,24,main,s_ml_0cuc0qh,ml_konomi;ml_karen;ml_miya,false,false,,,,
20190427_ml6th_angel_d1,25,main,s_ml_138a9hc,ml_tsubasa;ml_reika;ml_elena;ml_anna,false,false,,,,
20190427_ml6th_angel_d1,26,main,s_diamonddays,ml_tsubasa;ml_tamaki;ml_reika;ml_hinata;ml_kaori;ml_karen;ml_elena;ml_fuka;ml_akane;ml_serika;ml_konomi;ml_miya;ml_anna,,false,,,,
20190427_ml6th_angel_d1,27,encore,s_union,ml_tsubasa;ml_tamaki;ml_reika;ml_hinata;ml_kaori;ml_karen;ml_elena;ml_fuka;ml_akane;ml_serika;ml_konomi;ml_miya;ml_anna,,false,,,,
20190427_ml6th_angel_d1,28,encore,s_brandnewtheater,ml_tsubasa;ml_tamaki;ml_reika;ml_hinata;ml_kaori;ml_karen;ml_elena;ml_fuka;ml_akane;ml_serika;ml_konomi;ml_miya;ml_anna,,false,,,,
20190428_ml6th_angel_d2,1,main,s_angelicparade,ml_tsubasa;ml_tamaki;ml_reika;ml_hinata;ml_kaori;ml_karen;ml_elena;ml_fuka;ml_akane;ml_serika;ml_konomi;ml_miya;ml_anna,,false,,,,
20190428_ml6th_angel_d2,2,main,s_iiko,ml_hinata;ml_serika;ml_tamaki;ml_anna,,false,,,,
20190428_ml6th_angel_d2,3,main,s_765as_1n54kyz,ml_hinata;ml_serika;ml_tamaki;ml_anna,false,false,,,,
20190428_ml6th_angel_d2,4,main,s_getlolgetlolsong,ml_hinata;ml_serika;ml_tamaki;ml_anna,,false,,,,
20190428_ml6th_angel_d2,5,main,s_letters,ml_elena;ml_miya,false,false,,,,
20190428_ml6th_angel_d2,6,main,s_765as_1fx8o5s,ml_elena;ml_miya,false,false,,,,
20190428_ml6th_angel_d2,7,main,s_ml_01bjjra,ml_elena;ml_miya,false,false,,,,
20190428_ml6th_angel_d2,8,main,s_ml_01glwel,ml_karen;ml_akane;ml_tsubasa,,false,,,,
20190428_ml6th_angel_d2,9,main,s_dodai,ml_karen;ml_akane;ml_tsubasa,,false,,msterversion,,
20190428_ml6th_angel_d2,10,main,s_ml_05invv6,ml_karen;ml_akane;ml_tsubasa,,false,,,,
20190428_ml6th_angel_d2,11,main,s_redzone,ml_kaori;ml_fuka;ml_reika;ml_konomi,,false,,,,
20190428_ml6th_angel_d2,12,main,s_902pm,ml_kaori;ml_fuka;ml_reika;ml_konomi,false,false,,msterversion,,
20190428_ml6th_angel_d2,13,main,s_idol,ml_kaori;ml_fuka;ml_reika;ml_konomi,false,false,,,,
20190428_ml6th_angel_d2,14,main,s_weekend,ml_kaori;ml_fuka;ml_reika;ml_konomi,,false,,,,
20190428_ml6th_angel_d2,15,main,s_ml_138a9hc,ml_tsubasa;ml_reika;ml_elena;ml_anna,false,false,,,,
20190428_ml6th_angel_d2,16,main,s_bittersweet,ml_fuka,true,false,,,,
20190428_ml6th_angel_d2,17,main,s_ml_0orda1p,ml_hinata,true,false,,,,
20190428_ml6th_angel_d2,18,main,s_ml_1utkbmh,ml_elena,true,false,,,,
20190428_ml6th_angel_d2,19,main,s_sweetsweetsoul,ml_serika;ml_akane;ml_tamaki,,false,,,,
20190428_ml6th_angel_d2,20,main,s_ml_0cuc0qh,ml_konomi;ml_karen;ml_miya,false,false,,,,
20190428_ml6th_angel_d2,21,main,s_findyourwind,ml_reika,true,false,,,,
20190428_ml6th_angel_d2,22,main,s_happydarling,ml_anna,true,false,,,,
20190428_ml6th_angel_d2,23,main,s_ml_0zy947m,ml_tsubasa,true,false,,,,
20190428_ml6th_angel_d2,24,main,s_ml_0ilaprr,ml_kaori;ml_hinata;ml_fuka,,false,,,,
20190428_ml6th_angel_d2,25,main,s_diamonddays,ml_tsubasa;ml_tamaki;ml_reika;ml_hinata;ml_kaori;ml_karen;ml_elena;ml_fuka;ml_akane;ml_serika;ml_konomi;ml_miya;ml_anna,,false,,,,
20190428_ml6th_angel_d2,26,encore,s_union,ml_tsubasa;ml_tamaki;ml_reika;ml_hinata;ml_kaori;ml_karen;ml_elena;ml_fuka;ml_akane;ml_serika;ml_konomi;ml_miya;ml_anna,,false,,,,
20190428_ml6th_angel_d2,27,encore,s_brandnewtheater,ml_tsubasa;ml_tamaki;ml_reika;ml_hinata;ml_kaori;ml_karen;ml_elena;ml_fuka;ml_akane;ml_serika;ml_konomi;ml_miya;ml_anna,,false,,,,
20190518_ml6th_princess_d1,1,main,s_princessbeambitious,ml_mirai;ml_emily;ml_umi;ml_minako;ml_sayoko;ml_kotoha;ml_matsuri;ml_iku;ml_yuriko;ml_noriko;ml_arisa;ml_kana;ml_nao,,false,,,,
20190518_ml6th_princess_d1,2,main,s_episodetiara,ml_mirai;ml_kana;ml_kotoha,,false,,,,
20190518_ml6th_princess_d1,3,main,s_765as_1rh5ojr,ml_mirai;ml_kana;ml_kotoha,,false,,msterversion,,
20190518_ml6th_princess_d1,4,main,s_ml_1roxjc4,ml_mirai;ml_kana;ml_kotoha,,false,,,,
20190518_ml6th_princess_d1,5,main,s_ml_0wdocmu,ml_matsuri;ml_emily,,false,,,,
20190518_ml6th_princess_d1,6,main,s_765as_0gyyy0n,ml_matsuri;ml_emily,false,false,,,,
20190518_ml6th_princess_d1,7,main,s_765as_1lzgvkp,ml_matsuri;ml_emily,false,false,,,,
20190518_ml6th_princess_d1,8,main,s_ml_03foc9f,ml_matsuri;ml_emily,,false,,,,
20190518_ml6th_princess_d1,9,main,s_zettaibreak,ml_iku;ml_yuriko;ml_arisa,,false,,,,
20190518_ml6th_princess_d1,10,main,s_fateoftheworld,ml_iku;ml_yuriko;ml_arisa,false,false,,msterversion,,
20190518_ml6th_princess_d1,11,main,s_tomorrowprogram,ml_iku;ml_yuriko;ml_arisa,,false,,,,
20190518_ml6th_princess_d1,12,main,s_bornondreamhanabinight,ml_sayoko;ml_umi;ml_noriko;ml_nao;ml_minako,true,false,,,,
20190518_ml6th_princess_d1,13,main,s_moony,ml_sayoko;ml_umi;ml_noriko;ml_nao;ml_minako,false,false,,,,
20190518_ml6th_princess_d1,14,main,s_ml_090np9o,ml_sayoko;ml_umi;ml_noriko;ml_nao;ml_minako,true,false,,,,
20190518_ml6th_princess_d1,15,main,s_ml_01dksr2,ml_arisa;ml_matsuri;ml_mirai,,false,,,,
20190518_ml6th_princess_d1,16,main,s_weareone,ml_noriko,true,false,,,,
20190518_ml6th_princess_d1,17,main,s_onlyonesecond,ml_sayoko,true,false,,,,
20190518_ml6th_princess_d1,18,main,s_ml_0jnzb0g,ml_kana,true,false,,,,
20190518_ml6th_princess_d1,19,main,s_ml_10uvgmn,ml_kotoha,true,false,,,,
20190518_ml6th_princess_d1,20,main,s_starrymelody,ml_yuriko;ml_sayoko;ml_emily;ml_kana,,false,,,,
20190518_ml6th_princess_d1,21,main,s_understandunderstand,ml_umi;ml_kotoha,true,false,,,,
20190518_ml6th_princess_d1,22,main,s_ml_13u4gl9,ml_minako,true,false,,,,
20190518_ml6th_princess_d1,23,main,s_showchng,ml_arisa,true,false,,,,
20190518_ml6th_princess_d1,24,main,s_ml_1d7ahq0,ml_matsuri,true,false,,,,
20190518_ml6th_princess_d1,25,main,s_prettydreamer,ml_iku;ml_minako;ml_noriko;ml_nao,false,false,,,,
20190518_ml6th_princess_d1,26,main,s_diamonddays,ml_mirai;ml_emily;ml_umi;ml_minako;ml_sayoko;ml_kotoha;ml_matsuri;ml_iku;ml_yuriko;ml_noriko;ml_arisa;ml_kana;ml_nao,,false,,,,
20190518_ml6th_princess_d1,27,encore,s_union,ml_mirai;ml_emily;ml_umi;ml_minako;ml_sayoko;ml_kotoha;ml_matsuri;ml_iku;ml_yuriko;ml_noriko;ml_arisa;ml_kana;ml_nao,,false,,,,
20190518_ml6th_princess_d1,28,encore,s_brandnewtheater,ml_mirai;ml_emily;ml_umi;ml_minako;ml_sayoko;ml_kotoha;ml_matsuri;ml_iku;ml_yuriko;ml_noriko;ml_arisa;ml_kana;ml_nao,,false,,,,
20190519_ml6th_princess_d2,1,main,s_princessbeambitious,ml_mirai;ml_emily;ml_umi;ml_minako;ml_sayoko;ml_kotoha;ml_matsuri;ml_iku;ml_yuriko;ml_noriko;ml_arisa;ml_kana;ml_nao,,false,,,,
20190519_ml6th_princess_d2,2,main,s_episodetiara,ml_mirai;ml_kana;ml_kotoha,,false,,,,
20190519_ml6th_princess_d2,3,main,s_765as_1rh5ojr,ml_mirai;ml_kana;ml_kotoha,,false,,msterversion,,
20190519_ml6th_princess_d2,4,main,s_ml_1roxjc4,ml_mirai;ml_kana;ml_kotoha,,false,,,,
20190519_ml6th_princess_d2,5,main,s_ml_0wdocmu,ml_matsuri;ml_emily,,false,,,,
20190519_ml6th_princess_d2,6,main,s_765as_0gyyy0n,ml_matsuri;ml_emily,false,false,,,,
20190519_ml6th_princess_d2,7,main,s_765as_1lzgvkp,ml_matsuri;ml_emily,false,false,,,,
20190519_ml6th_princess_d2,8,main,s_ml_03foc9f,ml_matsuri;ml_emily,,false,,,,
20190519_ml6th_princess_d2,9,main,s_zettaibreak,ml_iku;ml_yuriko;ml_arisa,,false,,,,
20190519_ml6th_princess_d2,10,main,s_fateoftheworld,ml_iku;ml_yuriko;ml_arisa,false,false,,msterversion,,
20190519_ml6th_princess_d2,11,main,s_tomorrowprogram,ml_iku;ml_yuriko;ml_arisa,,false,,,,
20190519_ml6th_princess_d2,12,main,s_bornondreamhanabinight,ml_sayoko;ml_umi;ml_noriko;ml_nao;ml_minako,true,false,,,,
20190519_ml6th_princess_d2,13,main,s_moony,ml_sayoko;ml_umi;ml_noriko;ml_nao;ml_minako,false,false,,,,
20190519_ml6th_princess_d2,14,main,s_ml_090np9o,ml_sayoko;ml_umi;ml_noriko;ml_nao;ml_minako,true,false,,,,
20190519_ml6th_princess_d2,15,main,s_prettydreamer,ml_iku;ml_minako;ml_noriko;ml_nao,false,false,,,,
20190519_ml6th_princess_d2,16,main,s_ml_0g4qsrk,ml_umi,true,false,,,,
